"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct"
"5370016.00","2021S05075370016.00","0016.00",0.4583,"35",1,114882.0165,1148820165.94531,177180.874408725,32820.3910168788,482722.582542582,6.79901711745246
"5370017.00","2021S05075370017.00","0017.00",2.6275,"35",1,114882.0165,1148820165.94531,177180.874408725,1512054.44195426,2767612.70991139,54.6338884967279
"5370018.00","2021S05075370018.00","0018.00",0.3753,"35",1,114882.0165,1148820165.94531,177180.874408725,5422.1346409757,395372.592854586,1.371398710727
"5370019.00","2021S05075370019.00","0019.00",1.1977,"35",1,114882.0165,1148820165.94531,177180.874408725,130572.122368894,1261618.267944,10.3495744859244
"5370020.00","2021S05075370020.00","0020.00",1.0879,"35",1,114882.0165,1148820165.94531,177180.874408725,109342.981288304,1146054.25733738,9.54082065384408
"5370021.00","2021S05075370021.00","0021.00",1.0517,"35",1,114882.0165,1148820165.94531,177180.874408725,50394.7994484625,1107945.04796731,4.54849268390335
"5370022.00","2021S05075370022.00","0022.00",0.9201,"35",1,114882.0165,1148820165.94531,177180.874408725,43066.8051603957,969341.038113896,4.44289506654885
"5370023.00","2021S05075370023.00","0023.00",0.831,"35",1,114882.0165,1148820165.94531,177180.874408725,76088.2128965777,875404.311375926,8.69177954778236
"5370024.00","2021S05075370024.00","0024.00",0.8024,"35",1,114882.0165,1148820165.94531,177180.874408725,10878.9363029549,845327.060539544,1.28694996419625
"5370025.00","2021S05075370025.00","0025.00",2.2562,"35",1,114882.0165,1148820165.94531,177180.874408725,1467061.97325538,2382100.57271293,61.5869031753167
"5370027.00","2021S05075370027.00","0027.00",0.5433,"35",1,114882.0165,1148820165.94531,177180.874408725,258526.792957911,579602.269199011,44.6041719807595
"5370028.00","2021S05075370028.00","0028.00",0.7232,"35",1,114882.0165,1148820165.94531,177180.874408725,40086.8090363235,761851.756912178,5.26175974165857
"5370029.00","2021S05075370029.00","0029.00",1.0174,"35",1,114882.0165,1148820165.94531,177180.874408725,60049.8185164048,1071774.17681795,5.60284244715525
"5370030.00","2021S05075370030.00","0030.00",1.0584,"35",1,114882.0165,1148820165.94531,177180.874408725,127042.802218337,1114996.76398585,11.3940063614346
"5370031.00","2021S05075370031.00","0031.00",0.9549,"35",1,114882.0165,1148820165.94531,177180.874408725,429102.484367723,1005927.1191305,42.6574128688993
"5370032.00","2021S05075370032.00","0032.00",0.7444,"35",1,114882.0165,1148820165.94531,177180.874408725,151021.153723223,784078.15786799,19.2609821110014
"5370033.00","2021S05075370033.00","0033.00",0.704,"35",1,114882.0165,1148820165.94531,177180.874408725,178785.618716074,741596.376210717,24.1082109421303
"5370034.00","2021S05075370034.00","0034.00",0.9097,"35",1,114882.0165,1148820165.94531,177180.874408725,345427.222296567,958210.072519759,36.0492163673686
"5370035.00","2021S05075370035.00","0035.00",0.4432,"35",1,114882.0165,1148820165.94531,177180.874408725,16567.3969042977,466835.749462585,3.54887065169493
"5370036.00","2021S05075370036.00","0036.00",0.3667,"35",1,114882.0165,1148820165.94531,177180.874408725,12977.1116697474,386269.650574408,3.35959909106233
