"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct","Shape Area","Type","Households","Quality Flags","Dwellings 2016","name","CMA_UID","Population","Households 2016","Dwellings","CSD_UID","Population 2016","CD_UID","Region Name","Area (sq km)","med_income"
"5370019.00","2021S05075370019.00","0019.00",1.1977,"35",1,114882.0165,1148820165.94531,177180.874408725,130572.122368894,1261618.267944,10.3495744859244,1.1977,"CT",1679,"0",1760,"0019.00","35537",4053,1686,1759,"3525005",3932,"3525","0019.00",1.1977,81000
"5370020.00","2021S05075370020.00","0020.00",1.0879,"35",1,114882.0165,1148820165.94531,177180.874408725,109342.981288304,1146054.25733738,9.54082065384408,1.0879,"CT",1735,"0",1769,"0020.00","35537",4065,1717,1780,"3525005",3959,"3525","0020.00",1.0879,87000
"5370021.00","2021S05075370021.00","0021.00",1.0517,"35",1,114882.0165,1148820165.94531,177180.874408725,50394.7994484625,1107945.04796731,4.54849268390335,1.0517,"CT",2003,"0",2083,"0021.00","35537",4496,1989,2095,"3525005",4441,"3525","0021.00",1.0517,75500
"5370022.00","2021S05075370022.00","0022.00",0.9201,"35",1,114882.0165,1148820165.94531,177180.874408725,43066.8051603957,969341.038113896,4.44289506654885,0.9201,"CT",2350,"0",2418,"0022.00","35537",4761,2359,2420,"3525005",4706,"3525","0022.00",0.9201,65500
"5370023.00","2021S05075370023.00","0023.00",0.831,"35",1,114882.0165,1148820165.94531,177180.874408725,76088.2128965777,875404.311375926,8.69177954778236,0.831,"CT",948,"0",961,"0023.00","35537",2352,951,972,"3525005",2248,"3525","0023.00",0.831,94000
"5370024.00","2021S05075370024.00","0024.00",0.8024,"35",1,114882.0165,1148820165.94531,177180.874408725,10878.9363029549,845327.060539544,1.28694996419625,0.8024,"CT",1083,"0",1107,"0024.00","35537",2567,1090,1099,"3525005",2500,"3525","0024.00",0.8024,79500
"5370025.00","2021S05075370025.00","0025.00",2.2562,"35",1,114882.0165,1148820165.94531,177180.874408725,1467061.97325538,2382100.57271293,61.5869031753167,2.2562,"CT",1129,"0",1147,"0025.00","35537",2854,1140,1148,"3525005",2817,"3525","0025.00",2.2562,96000
"5370027.00","2021S05075370027.00","0027.00",0.5433,"35",1,114882.0165,1148820165.94531,177180.874408725,258526.792957911,579602.269199011,44.6041719807595,0.5433,"CT",478,"0",491,"0027.00","35537",1070,485,496,"3525005",1080,"3525","0027.00",0.5433,76500
"5370028.00","2021S05075370028.00","0028.00",0.7232,"35",1,114882.0165,1148820165.94531,177180.874408725,40086.8090363235,761851.756912178,5.26175974165857,0.7232,"CT",1245,"0",1274,"0028.00","35537",2848,1249,1275,"3525005",2712,"3525","0028.00",0.7232,77500
"5370029.00","2021S05075370029.00","0029.00",1.0174,"35",1,114882.0165,1148820165.94531,177180.874408725,60049.8185164048,1071774.17681795,5.60284244715525,1.0174,"CT",2070,"0",2057,"0029.00","35537",4571,2000,2134,"3525005",4350,"3525","0029.00",1.0174,71000
